Date,statename,average_expected_count,observed_number,excess_deaths,state
2017-01-14,Alabama,1028.0,1130.0,102.0,AL
2017-01-21,Alabama,1042.0,1048.0,6.0,AL
2017-01-28,Alabama,1060.0,1026.0,-34.0,AL
2017-02-04,Alabama,1056.0,1036.0,-20.0,AL
2017-02-11,Alabama,1049.0,1058.0,9.0,AL
2017-02-18,Alabama,1054.0,1060.0,6.0,AL
2017-02-25,Alabama,1045.0,1099.0,54.0,AL
2017-03-04,Alabama,1034.0,1081.0,47.0,AL
2017-03-11,Alabama,1026.0,1011.0,-15.0,AL
2017-03-18,Alabama,1015.0,1067.0,52.0,AL
2017-03-25,Alabama,1000.0,1068.0,68.0,AL
2017-04-01,Alabama,983.0,991.0,8.0,AL
2017-04-08,Alabama,978.0,1037.0,59.0,AL
2017-04-15,Alabama,972.0,1017.0,45.0,AL
2017-04-22,Alabama,970.0,966.0,-4.0,AL
2017-04-29,Alabama,958.0,996.0,38.0,AL
2017-05-06,Alabama,957.0,907.0,-50.0,AL
2017-05-13,Alabama,939.0,1064.0,125.0,AL
2017-05-20,Alabama,929.0,998.0,69.0,AL
2017-05-27,Alabama,925.0,988.0,63.0,AL
2017-06-03,Alabama,920.0,925.0,5.0,AL
2017-06-10,Alabama,917.0,984.0,67.0,AL
2017-06-17,Alabama,912.0,918.0,6.0,AL
2017-06-24,Alabama,910.0,961.0,51.0,AL
2017-07-01,Alabama,898.0,925.0,27.0,AL
2017-07-08,Alabama,898.0,954.0,56.0,AL
2017-07-15,Alabama,898.0,968.0,70.0,AL
2017-07-22,Alabama,909.0,964.0,55.0,AL
2017-07-29,Alabama,923.0,888.0,-35.0,AL
2017-08-05,Alabama,931.0,949.0,18.0,AL
2017-08-12,Alabama,935.0,936.0,1.0,AL
2017-08-19,Alabama,926.0,933.0,7.0,AL
2017-08-26,Alabama,920.0,917.0,-3.0,AL
2017-09-02,Alabama,912.0,953.0,41.0,AL
2017-09-09,Alabama,915.0,960.0,45.0,AL
2017-09-16,Alabama,927.0,968.0,41.0,AL
2017-09-23,Alabama,946.0,995.0,49.0,AL
2017-09-30,Alabama,957.0,1019.0,62.0,AL
2017-10-07,Alabama,966.0,948.0,-18.0,AL
2017-10-14,Alabama,975.0,986.0,11.0,AL
2017-10-21,Alabama,979.0,966.0,-13.0,AL
2017-10-28,Alabama,986.0,941.0,-45.0,AL
2017-11-04,Alabama,998.0,994.0,-4.0,AL
2017-11-11,Alabama,1018.0,994.0,-24.0,AL
2017-11-18,Alabama,1033.0,982.0,-51.0,AL
2017-11-25,Alabama,1051.0,1004.0,-47.0,AL
2017-12-02,Alabama,1063.0,1067.0,4.0,AL
2017-12-09,Alabama,1086.0,1074.0,-12.0,AL
2017-12-16,Alabama,1100.0,1120.0,20.0,AL
2017-12-23,Alabama,1111.0,1098.0,-13.0,AL
2017-12-30,Alabama,1125.0,1080.0,-45.0,AL
2018-01-06,Alabama,1148.0,1248.0,100.0,AL
2018-01-13,Alabama,1151.0,1301.0,150.0,AL
2018-01-20,Alabama,1159.0,1275.0,116.0,AL
2018-01-27,Alabama,1163.0,1286.0,123.0,AL
2018-02-03,Alabama,1158.0,1147.0,-11.0,AL
2018-02-10,Alabama,1152.0,1181.0,29.0,AL
2018-02-17,Alabama,1152.0,1096.0,-56.0,AL
2018-02-24,Alabama,1151.0,1099.0,-52.0,AL
2018-03-03,Alabama,1144.0,985.0,-159.0,AL
2018-03-10,Alabama,1123.0,1059.0,-64.0,AL
2018-03-17,Alabama,1109.0,1086.0,-23.0,AL
2018-03-24,Alabama,1095.0,993.0,-102.0,AL
2018-03-31,Alabama,1080.0,995.0,-85.0,AL
2018-04-07,Alabama,1064.0,1012.0,-52.0,AL
2018-04-14,Alabama,1053.0,1026.0,-27.0,AL
2018-04-21,Alabama,1056.0,1031.0,-25.0,AL
2018-04-28,Alabama,1050.0,971.0,-79.0,AL
2018-05-05,Alabama,1039.0,1039.0,0.0,AL
2018-05-12,Alabama,1032.0,950.0,-82.0,AL
2018-05-19,Alabama,1020.0,1005.0,-15.0,AL
2018-05-26,Alabama,1015.0,977.0,-38.0,AL
2018-06-02,Alabama,1000.0,973.0,-27.0,AL
2018-06-09,Alabama,990.0,1011.0,21.0,AL
2018-06-16,Alabama,981.0,940.0,-41.0,AL
2018-06-23,Alabama,980.0,974.0,-6.0,AL
2018-06-30,Alabama,979.0,927.0,-52.0,AL
2018-07-07,Alabama,981.0,972.0,-9.0,AL
2018-07-14,Alabama,971.0,994.0,23.0,AL
2018-07-21,Alabama,974.0,959.0,-15.0,AL
2018-07-28,Alabama,984.0,930.0,-54.0,AL
2018-08-04,Alabama,983.0,962.0,-21.0,AL
2018-08-11,Alabama,975.0,969.0,-6.0,AL
2018-08-18,Alabama,962.0,938.0,-24.0,AL
2018-08-25,Alabama,957.0,943.0,-14.0,AL
2018-09-01,Alabama,961.0,936.0,-25.0,AL
2018-09-08,Alabama,959.0,944.0,-15.0,AL
2018-09-15,Alabama,973.0,912.0,-61.0,AL
2018-09-22,Alabama,975.0,998.0,23.0,AL
2018-09-29,Alabama,988.0,972.0,-16.0,AL
2018-10-06,Alabama,981.0,945.0,-36.0,AL
2018-10-13,Alabama,975.0,943.0,-32.0,AL
2018-10-20,Alabama,974.0,971.0,-3.0,AL
2018-10-27,Alabama,975.0,993.0,18.0,AL
2018-11-03,Alabama,975.0,927.0,-48.0,AL
2018-11-10,Alabama,996.0,963.0,-33.0,AL
2018-11-17,Alabama,1023.0,1055.0,32.0,AL
2018-11-24,Alabama,1041.0,1009.0,-32.0,AL
2018-12-01,Alabama,1058.0,1050.0,-8.0,AL
2018-12-08,Alabama,1075.0,1044.0,-31.0,AL
2018-12-15,Alabama,1085.0,1053.0,-32.0,AL
2018-12-22,Alabama,1097.0,1105.0,8.0,AL
2018-12-29,Alabama,1130.0,1084.0,-46.0,AL
2019-01-05,Alabama,1176.0,1077.0,-99.0,AL
2019-01-12,Alabama,1195.0,1090.0,-105.0,AL
2019-01-19,Alabama,1216.0,1114.0,-102.0,AL
2019-01-26,Alabama,1216.0,1063.0,-153.0,AL
2019-02-02,Alabama,1204.0,1095.0,-109.0,AL
2019-02-09,Alabama,1195.0,1092.0,-103.0,AL
2019-02-16,Alabama,1181.0,1103.0,-78.0,AL
2019-02-23,Alabama,1176.0,1064.0,-112.0,AL
2019-03-02,Alabama,1153.0,1050.0,-103.0,AL
2019-03-09,Alabama,1137.0,1062.0,-75.0,AL
2019-03-16,Alabama,1123.0,1090.0,-33.0,AL
2019-03-23,Alabama,1121.0,1012.0,-109.0,AL
2019-03-30,Alabama,1111.0,1079.0,-32.0,AL
2019-04-06,Alabama,1094.0,1044.0,-50.0,AL
2019-04-13,Alabama,1089.0,1031.0,-58.0,AL
2019-04-20,Alabama,1086.0,954.0,-132.0,AL
2019-04-27,Alabama,1081.0,1042.0,-39.0,AL
2019-05-04,Alabama,1073.0,1031.0,-42.0,AL
2019-05-11,Alabama,1061.0,1009.0,-52.0,AL
2019-05-18,Alabama,1051.0,996.0,-55.0,AL
2019-05-25,Alabama,1042.0,974.0,-68.0,AL
2019-06-01,Alabama,1032.0,1027.0,-5.0,AL
2019-06-08,Alabama,1028.0,1029.0,1.0,AL
2019-06-15,Alabama,1019.0,986.0,-33.0,AL
2019-06-22,Alabama,1021.0,989.0,-32.0,AL
2019-06-29,Alabama,1015.0,940.0,-75.0,AL
2019-07-06,Alabama,1029.0,1028.0,-1.0,AL
2019-07-13,Alabama,1023.0,1018.0,-5.0,AL
2019-07-20,Alabama,1024.0,962.0,-62.0,AL
2019-07-27,Alabama,1020.0,980.0,-40.0,AL
2019-08-03,Alabama,1014.0,984.0,-30.0,AL
2019-08-10,Alabama,1014.0,998.0,-16.0,AL
2019-08-17,Alabama,1021.0,977.0,-44.0,AL
2019-08-24,Alabama,1016.0,939.0,-77.0,AL
2019-08-31,Alabama,1016.0,975.0,-41.0,AL
2019-09-07,Alabama,1019.0,1009.0,-10.0,AL
2019-09-14,Alabama,1031.0,1000.0,-31.0,AL
2019-09-21,Alabama,1035.0,883.0,-152.0,AL
2019-09-28,Alabama,1038.0,987.0,-51.0,AL
2019-10-05,Alabama,1029.0,958.0,-71.0,AL
2019-10-12,Alabama,1013.0,907.0,-106.0,AL
2019-10-19,Alabama,1006.0,1009.0,3.0,AL
2019-10-26,Alabama,1018.0,978.0,-40.0,AL
2019-11-02,Alabama,1028.0,937.0,-91.0,AL
2019-11-09,Alabama,1042.0,1041.0,-1.0,AL
2019-11-16,Alabama,1058.0,1070.0,12.0,AL
2019-11-23,Alabama,1067.0,1043.0,-24.0,AL
2019-11-30,Alabama,1082.0,1038.0,-44.0,AL
2019-12-07,Alabama,1089.0,1072.0,-17.0,AL
2019-12-14,Alabama,1095.0,1081.0,-14.0,AL
2019-12-21,Alabama,1093.0,1103.0,10.0,AL
2019-12-28,Alabama,1100.0,1035.0,-65.0,AL
2020-01-04,Alabama,1100.0,1081.0,-19.0,AL
2020-01-11,Alabama,1095.0,1127.0,32.0,AL
2020-01-18,Alabama,1100.0,1039.0,-61.0,AL
2020-01-25,Alabama,1109.0,1053.0,-56.0,AL
2020-02-01,Alabama,1106.0,1025.0,-81.0,AL
2020-02-08,Alabama,1107.0,1118.0,11.0,AL
2020-02-15,Alabama,1100.0,1094.0,-6.0,AL
2020-02-22,Alabama,1092.0,1097.0,5.0,AL
2020-02-29,Alabama,1083.0,1161.0,78.0,AL
2020-03-07,Alabama,1074.0,1053.0,-21.0,AL
2020-03-14,Alabama,1066.0,1091.0,25.0,AL
2020-03-21,Alabama,1059.0,1057.0,-2.0,AL
2020-03-28,Alabama,1049.0,1072.0,23.0,AL
2020-04-04,Alabama,1037.0,1155.0,118.0,AL
2020-04-11,Alabama,1034.0,1133.0,99.0,AL
2020-04-18,Alabama,1027.0,1143.0,116.0,AL
2020-04-25,Alabama,1017.0,1137.0,120.0,AL
2020-05-02,Alabama,1011.0,1147.0,136.0,AL
2020-05-09,Alabama,1008.0,1168.0,160.0,AL
2020-05-16,Alabama,1008.0,1146.0,138.0,AL
2020-05-23,Alabama,1001.0,1150.0,149.0,AL
2020-05-30,Alabama,1004.0,1105.0,101.0,AL
2020-06-06,Alabama,989.0,1168.0,179.0,AL
2020-06-13,Alabama,987.0,1134.0,147.0,AL
2020-06-20,Alabama,983.0,1087.0,104.0,AL
2020-06-27,Alabama,980.0,1148.0,168.0,AL
2020-07-04,Alabama,979.0,1204.0,225.0,AL
2020-07-11,Alabama,980.0,1262.0,282.0,AL
2020-07-18,Alabama,980.0,1297.0,317.0,AL
2020-07-25,Alabama,979.0,1334.0,355.0,AL
2020-08-01,Alabama,972.0,1367.0,395.0,AL
2020-08-08,Alabama,970.0,1378.0,408.0,AL
2020-08-15,Alabama,969.0,1307.0,338.0,AL
2020-08-22,Alabama,974.0,1299.0,325.0,AL
2020-08-29,Alabama,967.0,1217.0,250.0,AL
2020-09-05,Alabama,969.0,1216.0,247.0,AL
2020-09-12,Alabama,976.0,1236.0,260.0,AL
2020-09-19,Alabama,979.0,1193.0,214.0,AL
2020-09-26,Alabama,976.0,1185.0,209.0,AL
2020-10-03,Alabama,982.0,1099.0,117.0,AL
2020-10-10,Alabama,983.0,1200.0,217.0,AL
2020-10-17,Alabama,977.0,1192.0,215.0,AL
2020-10-24,Alabama,983.0,1142.0,159.0,AL
2020-10-31,Alabama,1003.0,1163.0,160.0,AL
2020-11-07,Alabama,1009.0,1249.0,240.0,AL
2020-11-14,Alabama,1022.0,1256.0,234.0,AL
2020-11-21,Alabama,1046.0,1227.0,181.0,AL
2020-11-28,Alabama,1062.0,1235.0,173.0,AL
2020-12-05,Alabama,1071.0,1179.0,108.0,AL
2020-12-12,Alabama,1086.0,1113.0,27.0,AL
2017-01-14,Alaska,88.0,87.0,-1.0,AK
2017-01-21,Alaska,87.0,93.0,6.0,AK
2017-01-28,Alaska,86.0,80.0,-6.0,AK
2017-02-04,Alaska,84.0,87.0,3.0,AK
2017-02-11,Alaska,84.0,63.0,-21.0,AK
2017-02-18,Alaska,82.0,80.0,-2.0,AK
2017-02-25,Alaska,82.0,73.0,-9.0,AK
2017-03-04,Alaska,81.0,66.0,-15.0,AK
2017-03-11,Alaska,83.0,74.0,-9.0,AK
2017-03-18,Alaska,83.0,84.0,1.0,AK
2017-03-25,Alaska,84.0,92.0,8.0,AK
2017-04-01,Alaska,84.0,89.0,5.0,AK
2017-04-08,Alaska,85.0,78.0,-7.0,AK
2017-04-15,Alaska,83.0,88.0,5.0,AK
2017-04-22,Alaska,81.0,58.0,-23.0,AK
2017-04-29,Alaska,83.0,80.0,-3.0,AK
2017-05-06,Alaska,83.0,73.0,-10.0,AK
2017-05-13,Alaska,84.0,77.0,-7.0,AK
2017-05-20,Alaska,86.0,68.0,-18.0,AK
2017-05-27,Alaska,88.0,76.0,-12.0,AK
2017-06-03,Alaska,87.0,77.0,-10.0,AK
2017-06-10,Alaska,86.0,84.0,-2.0,AK
2017-06-17,Alaska,89.0,90.0,1.0,AK
2017-06-24,Alaska,88.0,81.0,-7.0,AK
2017-07-01,Alaska,90.0,79.0,-11.0,AK
2017-07-08,Alaska,92.0,82.0,-10.0,AK
2017-07-15,Alaska,93.0,70.0,-23.0,AK
2017-07-22,Alaska,90.0,81.0,-9.0,AK
2017-07-29,Alaska,88.0,79.0,-9.0,AK
2017-08-05,Alaska,85.0,64.0,-21.0,AK
2017-08-12,Alaska,84.0,68.0,-16.0,AK
2017-08-19,Alaska,84.0,89.0,5.0,AK
2017-08-26,Alaska,85.0,89.0,4.0,AK
2017-09-02,Alaska,87.0,77.0,-10.0,AK
2017-09-09,Alaska,86.0,86.0,0.0,AK
2017-09-16,Alaska,86.0,83.0,-3.0,AK
2017-09-23,Alaska,87.0,89.0,2.0,AK
2017-09-30,Alaska,88.0,115.0,27.0,AK
2017-10-07,Alaska,88.0,78.0,-10.0,AK
