index,date,state,positiveIncrease,hospitalizedIncrease,deathIncrease,total_deaths,new_cases,new_hospitalized,new_deaths,POP
16475,2020-03-06,AK,0,0,0,0.0,0.0,0.0,0.0,731545.0
16424,2020-03-07,AK,0,0,0,0.0,0.0,0.0,0.0,731545.0
16373,2020-03-08,AK,0,0,0,0.0,0.0,0.0,0.0,731545.0
16322,2020-03-09,AK,0,1,0,0.0,0.0,0.0,0.0,731545.0
16271,2020-03-10,AK,0,0,0,0.0,0.0,0.0,0.0,731545.0
16220,2020-03-11,AK,0,0,0,0.0,0.0,0.0,0.0,731545.0
16169,2020-03-12,AK,0,0,0,0.0,0.0,0.14285714285714285,0.0,731545.0
16118,2020-03-13,AK,0,0,0,0.0,0.0,0.14285714285714285,0.0,731545.0
16067,2020-03-14,AK,0,0,0,0.0,0.0,0.14285714285714285,0.0,731545.0
16016,2020-03-15,AK,0,0,0,0.0,0.0,0.14285714285714285,0.0,731545.0
15960,2020-03-16,AK,0,0,0,0.0,0.0,0.0,0.0,731545.0
15904,2020-03-17,AK,3,0,0,0.0,0.42857142857142855,0.0,0.0,731545.0
15848,2020-03-18,AK,5,0,0,0.0,1.1428571428571428,0.0,0.0,731545.0
15792,2020-03-19,AK,3,0,0,0.0,1.5714285714285714,0.0,0.0,731545.0
15736,2020-03-20,AK,3,0,0,0.0,2.0,0.0,0.0,731545.0
15680,2020-03-21,AK,1,0,0,0.0,2.142857142857143,0.0,0.0,731545.0
15624,2020-03-22,AK,10,0,0,0.0,3.5714285714285716,0.0,0.0,731545.0
15568,2020-03-23,AK,13,0,0,0.0,5.428571428571429,0.0,0.0,731545.0
15512,2020-03-24,AK,4,1,0,0.0,5.571428571428571,0.14285714285714285,0.0,731545.0
15456,2020-03-25,AK,7,1,1,1.0,5.857142857142857,0.2857142857142857,0.14285714285714285,731545.0
15400,2020-03-26,AK,14,1,0,1.0,7.428571428571429,0.42857142857142855,0.14285714285714285,731545.0
15344,2020-03-27,AK,11,2,0,1.0,8.571428571428571,0.7142857142857143,0.14285714285714285,731545.0
15288,2020-03-28,AK,17,4,1,2.0,10.857142857142858,1.2857142857142858,0.2857142857142857,731545.0
15232,2020-03-29,AK,19,0,0,2.0,12.142857142857142,1.2857142857142858,0.2857142857142857,731545.0
15176,2020-03-30,AK,8,0,1,3.0,11.428571428571429,1.2857142857142858,0.42857142857142855,731545.0
15120,2020-03-31,AK,10,2,0,3.0,12.285714285714286,1.4285714285714286,0.42857142857142855,731545.0
15064,2020-04-01,AK,13,3,0,3.0,13.142857142857142,1.7142857142857142,0.2857142857142857,731545.0
15008,2020-04-02,AK,8,1,0,3.0,12.285714285714286,1.7142857142857142,0.2857142857142857,731545.0
14952,2020-04-03,AK,11,1,0,3.0,12.285714285714286,1.5714285714285714,0.2857142857142857,731545.0
14896,2020-04-04,AK,11,0,2,5.0,11.428571428571429,1.0,0.42857142857142855,731545.0
14840,2020-04-05,AK,14,4,1,6.0,10.714285714285714,1.5714285714285714,0.5714285714285714,731545.0
14784,2020-04-06,AK,6,4,0,6.0,10.428571428571429,2.142857142857143,0.42857142857142855,731545.0
14728,2020-04-07,AK,22,1,0,6.0,12.142857142857142,2.0,0.42857142857142855,731545.0
14672,2020-04-08,AK,13,2,1,7.0,12.142857142857142,1.8571428571428572,0.5714285714285714,731545.0
14616,2020-04-09,AK,9,2,0,7.0,12.285714285714286,2.0,0.5714285714285714,731545.0
14560,2020-04-10,AK,11,0,0,7.0,12.285714285714286,1.8571428571428572,0.5714285714285714,731545.0
14504,2020-04-11,AK,11,2,1,8.0,12.285714285714286,2.142857142857143,0.42857142857142855,731545.0
14448,2020-04-12,AK,15,1,0,8.0,12.428571428571429,1.7142857142857142,0.2857142857142857,731545.0
14392,2020-04-13,AK,5,0,0,8.0,12.285714285714286,1.1428571428571428,0.2857142857142857,731545.0
14336,2020-04-14,AK,8,0,1,9.0,10.285714285714286,1.0,0.42857142857142855,731545.0
14280,2020-04-15,AK,8,0,0,9.0,9.571428571428571,0.7142857142857143,0.2857142857142857,731545.0
14224,2020-04-16,AK,7,3,0,9.0,9.285714285714286,0.8571428571428571,0.2857142857142857,731545.0
14168,2020-04-17,AK,9,1,0,9.0,9.0,1.0,0.2857142857142857,731545.0
14112,2020-04-18,AK,5,0,0,9.0,8.142857142857142,0.7142857142857143,0.14285714285714285,731545.0
14056,2020-04-19,AK,5,0,0,9.0,6.714285714285714,0.5714285714285714,0.14285714285714285,731545.0
14000,2020-04-20,AK,2,0,0,9.0,6.285714285714286,0.5714285714285714,0.14285714285714285,731545.0
13944,2020-04-21,AK,8,0,0,9.0,6.285714285714286,0.5714285714285714,0.0,731545.0
13888,2020-04-22,AK,6,0,0,9.0,6.0,0.5714285714285714,0.0,731545.0
13832,2020-04-23,AK,2,0,0,9.0,5.285714285714286,0.14285714285714285,0.0,731545.0
13776,2020-04-24,AK,2,0,0,9.0,4.285714285714286,0.0,0.0,731545.0
13720,2020-04-25,AK,0,0,0,9.0,3.5714285714285716,0.0,0.0,731545.0
13664,2020-04-26,AK,2,0,0,9.0,3.142857142857143,0.0,0.0,731545.0
13608,2020-04-27,AK,4,0,0,9.0,3.4285714285714284,0.0,0.0,731545.0
13552,2020-04-28,AK,6,1,0,9.0,3.142857142857143,0.14285714285714285,0.0,731545.0
13496,2020-04-29,AK,4,0,0,9.0,2.857142857142857,0.14285714285714285,0.0,731545.0
13440,2020-04-30,AK,0,0,0,9.0,2.5714285714285716,0.14285714285714285,0.0,731545.0
13384,2020-05-01,AK,9,1,0,9.0,3.5714285714285716,0.2857142857142857,0.0,731545.0
13328,2020-05-02,AK,1,0,0,9.0,3.7142857142857144,0.2857142857142857,0.0,731545.0
13272,2020-05-03,AK,3,0,0,9.0,3.857142857142857,0.2857142857142857,0.0,731545.0
13216,2020-05-04,AK,2,0,0,9.0,3.5714285714285716,0.2857142857142857,0.0,731545.0
13160,2020-05-05,AK,1,1,0,9.0,2.857142857142857,0.2857142857142857,0.0,731545.0
13104,2020-05-06,AK,1,1,1,10.0,2.4285714285714284,0.42857142857142855,0.14285714285714285,731545.0
13048,2020-05-07,AK,2,0,0,10.0,2.7142857142857144,0.42857142857142855,0.14285714285714285,731545.0
12992,2020-05-08,AK,3,0,0,10.0,1.8571428571428572,0.2857142857142857,0.14285714285714285,731545.0
12936,2020-05-09,AK,1,0,0,10.0,1.8571428571428572,0.2857142857142857,0.14285714285714285,731545.0
12880,2020-05-10,AK,1,0,0,10.0,1.5714285714285714,0.2857142857142857,0.14285714285714285,731545.0
12824,2020-05-11,AK,2,0,0,10.0,1.5714285714285714,0.2857142857142857,0.14285714285714285,731545.0
12768,2020-05-12,AK,2,0,0,10.0,1.7142857142857142,0.14285714285714285,0.14285714285714285,731545.0
12712,2020-05-13,AK,1,0,0,10.0,1.7142857142857142,0.0,0.0,731545.0
12656,2020-05-14,AK,5,1,0,10.0,2.142857142857143,0.14285714285714285,0.0,731545.0
12600,2020-05-15,AK,1,1,0,10.0,1.8571428571428572,0.2857142857142857,0.0,731545.0
12544,2020-05-16,AK,4,2,0,10.0,2.2857142857142856,0.5714285714285714,0.0,731545.0
12488,2020-05-17,AK,4,1,0,10.0,2.7142857142857144,0.7142857142857143,0.0,731545.0
12432,2020-05-18,AK,3,0,0,10.0,2.857142857142857,0.7142857142857143,0.0,731545.0
12376,2020-05-19,AK,0,0,0,10.0,2.5714285714285716,0.7142857142857143,0.0,731545.0
12320,2020-05-20,AK,3,0,0,10.0,2.857142857142857,0.7142857142857143,0.0,731545.0
12264,2020-05-21,AK,0,1,0,10.0,2.142857142857143,0.7142857142857143,0.0,731545.0
