index,FIPS,Admin2,Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,Combined_Key,Incidence_Rate,Case-Fatality_Ratio,Date,Incident_Rate,Case_Fatality_Ratio,Countyname,pop2010,pop2019,month,new_cases,new_cases_rolling,new_deaths,new_deaths_rolling,perc_infected,infect,schooling,change,herd_days,max_herd_days,new_cases_MNDH,ratio,new_cases_21days,new_cases_7days,new_cases_MNDH_previous,ratio_previous,trend,text
0.0,27001.0,Aitkin,Minnesota,US,2020-11-04 05:25:09,46.60962049,-93.41168259999999,249.0,4.0,0.0,245.0,"Aitkin, Minnesota, US",1567.4178521969034,1.606425702811245,2020-11-03,,,Aitkin,16192.0,15886.0,November 2020,0.0,0.0,0.0,,1.5674178521969029,Less than 5%,Elem. & MS/HS in-person,0.0,1272.3630769230788,1272.3630769230788,0.0,0.0,0.0,0.0,0.0,0.0,Downward,County: Aitkin<br>MN Dept of <br>Health Statistic:    0.0<br>Trending:             Downward<br>Percent Infected:      1.57<br>New Cases / Total Cases: 0 / 249<br>New Deaths/ Total Deaths:         0 / 4
1.0,27001.0,Aitkin,Minnesota,US,2020-11-05 06:05:03,46.60962049,-93.41168259999999,266.0,5.0,0.0,261.0,"Aitkin, Minnesota, US",1674.4303160015106,1.8796992481203008,2020-11-04,,,Aitkin,16192.0,15886.0,November 2020,17.0,0.0,1.0,,1.6744303160015108,Less than 5%,Elem. & MS/HS in-person,0.0,1272.3630769230788,1272.3630769230788,0.0,0.0,0.0,0.0,0.0,0.0,Downward,County: Aitkin<br>MN Dept of <br>Health Statistic:    0.0<br>Trending:             Downward<br>Percent Infected:      1.67<br>New Cases / Total Cases: 17 / 266<br>New Deaths/ Total Deaths:         1 / 5
2.0,27001.0,Aitkin,Minnesota,US,2020-11-06 05:24:55,46.60962049,-93.41168259999999,274.0,5.0,0.0,269.0,"Aitkin, Minnesota, US",1724.7891224977966,1.8248175182481752,2020-11-05,,,Aitkin,16192.0,15886.0,November 2020,8.0,0.0,0.0,,1.7247891224977967,Less than 5%,Elem. & MS/HS in-person,0.0,1272.3630769230788,1272.3630769230788,0.0,0.0,0.0,0.0,0.0,0.0,Downward,County: Aitkin<br>MN Dept of <br>Health Statistic:    0.0<br>Trending:             Downward<br>Percent Infected:      1.72<br>New Cases / Total Cases: 8 / 274<br>New Deaths/ Total Deaths:         0 / 5
3.0,27001.0,Aitkin,Minnesota,US,2020-11-07 05:24:52,46.60962049,-93.41168259999999,289.0,5.0,0.0,284.0,"Aitkin, Minnesota, US",1819.211884678333,1.7301038062283738,2020-11-06,,,Aitkin,16192.0,15886.0,November 2020,15.0,0.0,0.0,,1.8192118846783332,Less than 5%,Elem. & MS/HS in-person,0.0,1272.3630769230788,1272.3630769230788,0.0,0.0,0.0,0.0,0.0,0.0,Downward,County: Aitkin<br>MN Dept of <br>Health Statistic:    0.0<br>Trending:             Downward<br>Percent Infected:      1.82<br>New Cases / Total Cases: 15 / 289<br>New Deaths/ Total Deaths:         0 / 5
4.0,27001.0,Aitkin,Minnesota,US,2020-11-08 05:24:56,46.60962049,-93.41168259999999,323.0,5.0,0.0,318.0,"Aitkin, Minnesota, US",2033.2368122875491,1.547987616099071,2020-11-07,,,Aitkin,16192.0,15886.0,November 2020,34.0,0.0,0.0,,2.033236812287549,Less than 5%,Elem. & MS/HS in-person,0.0,1272.3630769230788,1272.3630769230788,0.0,0.0,0.0,0.0,0.0,0.0,Downward,County: Aitkin<br>MN Dept of <br>Health Statistic:    0.0<br>Trending:             Downward<br>Percent Infected:      2.03<br>New Cases / Total Cases: 34 / 323<br>New Deaths/ Total Deaths:         0 / 5
5.0,27001.0,Aitkin,Minnesota,US,2020-11-09 05:25:45,46.60962049,-93.41168259999999,343.0,5.0,0.0,338.0,"Aitkin, Minnesota, US",2159.133828528264,1.4577259475218658,2020-11-08,,,Aitkin,16192.0,15886.0,November 2020,20.0,0.0,0.0,,2.159133828528264,Less than 5%,Elem. & MS/HS in-person,0.0,1272.3630769230788,1272.3630769230788,0.0,0.0,0.0,0.0,0.0,0.0,Downward,County: Aitkin<br>MN Dept of <br>Health Statistic:    0.0<br>Trending:             Downward<br>Percent Infected:      2.16<br>New Cases / Total Cases: 20 / 343<br>New Deaths/ Total Deaths:         0 / 5
6.0,27001.0,Aitkin,Minnesota,US,2020-11-10 05:40:07,46.60962049,-93.41168259999999,348.0,7.0,0.0,341.0,"Aitkin, Minnesota, US",,,2020-11-09,2190.608082588443,2.0114942528735638,Aitkin,16192.0,15886.0,November 2020,5.0,14.142857142857142,2.0,0.42857142857142855,2.190608082588443,Less than 5%,Elem. & MS/HS in-person,0.08902717577022,873.9959595959592,1272.3630769230788,0.0,0.0,0.0,99.0,-99.0,-62.31902303915397,Upward,County: Aitkin<br>MN Dept of <br>Health Statistic:    0.0<br>Trending:             Upward<br>Percent Infected:      2.19<br>New Cases / Total Cases: 5 / 348<br>New Deaths/ Total Deaths:         2 / 7
7.0,27001.0,Aitkin,Minnesota,US,2020-11-11 05:25:30,46.60962049,-93.41168259999999,365.0,8.0,0.0,357.0,"Aitkin, Minnesota, US",,,2020-11-10,2297.6205463930505,2.191780821917808,Aitkin,16192.0,15886.0,November 2020,17.0,16.571428571428573,1.0,0.5714285714285714,2.2976205463930506,Less than 5%,Elem. & MS/HS in-person,0.10431467059944967,744.8844827586206,1272.3630769230788,0.0,0.0,0.0,116.0,-116.0,-73.02026941961475,Upward,County: Aitkin<br>MN Dept of <br>Health Statistic:    0.0<br>Trending:             Upward<br>Percent Infected:      2.3<br>New Cases / Total Cases: 17 / 365<br>New Deaths/ Total Deaths:         1 / 8
8.0,27001.0,Aitkin,Minnesota,US,2020-11-12 05:25:55,46.60962049,-93.41168259999999,385.0,8.0,0.0,377.0,"Aitkin, Minnesota, US",,,2020-11-11,2423.517562633765,2.0779220779220777,Aitkin,16192.0,15886.0,November 2020,20.0,17.0,0.0,0.42857142857142855,2.4235175626337657,Less than 5%,Elem. & MS/HS in-person,0.10701246380460784,724.9294117647058,1272.3630769230788,0.0,0.0,0.0,119.0,-119.0,-74.90872466322548,Upward,County: Aitkin<br>MN Dept of <br>Health Statistic:    0.0<br>Trending:             Upward<br>Percent Infected:      2.42<br>New Cases / Total Cases: 20 / 385<br>New Deaths/ Total Deaths:         0 / 8
9.0,27001.0,Aitkin,Minnesota,US,2020-11-13 05:25:30,46.60962049,-93.41168259999999,396.0,9.0,0.0,387.0,"Aitkin, Minnesota, US",,,2020-11-12,2492.760921566159,2.272727272727273,Aitkin,16192.0,15886.0,November 2020,11.0,17.428571428571427,1.0,0.5714285714285714,2.492760921566159,Less than 5%,Elem. & MS/HS in-person,0.10971025700976604,706.4721311475408,1272.3630769230788,0.0,0.0,0.0,122.0,-122.0,-76.7971799068362,Upward,County: Aitkin<br>MN Dept of <br>Health Statistic:    0.0<br>Trending:             Upward<br>Percent Infected:      2.49<br>New Cases / Total Cases: 11 / 396<br>New Deaths/ Total Deaths:         1 / 9
