Date,FIPS,Admin2,ratio,schooling,text,infect,perc_infected,herd_days
2020-09-21,27001.0,Aitkin,0.0,Elem. & MS/HS in-person,County: Aitkin<br>MN Dept of <br>Health Statistic:    0.0<br>Trending:             Downward<br>Percent Infected:      0.46<br>New Cases / Total Cases: 0 / 73<br>New Deaths/ Total Deaths:         0 / 1,Less than 5%,0.4595241092786101,11049.325000000012
2020-09-22,27001.0,Aitkin,0.0,Elem. & MS/HS in-person,County: Aitkin<br>MN Dept of <br>Health Statistic:    0.0<br>Trending:             Downward<br>Percent Infected:      0.48<br>New Cases / Total Cases: 3 / 76<br>New Deaths/ Total Deaths:         0 / 1,Less than 5%,0.47840866171471735,11049.325000000012
2020-09-23,27001.0,Aitkin,0.0,Elem. & MS/HS in-person,County: Aitkin<br>MN Dept of <br>Health Statistic:    0.0<br>Trending:             Downward<br>Percent Infected:      0.47<br>New Cases / Total Cases: -2 / 74<br>New Deaths/ Total Deaths:         0 / 1,Less than 5%,0.46581896009064583,11049.325000000012
2020-09-24,27001.0,Aitkin,0.0,Elem. & MS/HS in-person,County: Aitkin<br>MN Dept of <br>Health Statistic:    0.0<br>Trending:             Downward<br>Percent Infected:      0.47<br>New Cases / Total Cases: 1 / 75<br>New Deaths/ Total Deaths:         0 / 1,Less than 5%,0.4721138109026816,11049.325000000012
2020-09-25,27001.0,Aitkin,0.0,Elem. & MS/HS in-person,County: Aitkin<br>MN Dept of <br>Health Statistic:    0.0<br>Trending:             Downward<br>Percent Infected:      0.48<br>New Cases / Total Cases: 1 / 76<br>New Deaths/ Total Deaths:         0 / 1,Less than 5%,0.47840866171471735,11049.325000000012
2020-09-26,27001.0,Aitkin,0.0,Elem. & MS/HS in-person,County: Aitkin<br>MN Dept of <br>Health Statistic:    0.0<br>Trending:             Downward<br>Percent Infected:      0.5<br>New Cases / Total Cases: 4 / 80<br>New Deaths/ Total Deaths:         0 / 1,Less than 5%,0.5035880649628603,11049.325000000012
2020-09-27,27001.0,Aitkin,0.0,Elem. & MS/HS in-person,County: Aitkin<br>MN Dept of <br>Health Statistic:    0.0<br>Trending:             Upward<br>Percent Infected:      0.51<br>New Cases / Total Cases: 1 / 81<br>New Deaths/ Total Deaths:         0 / 1,Less than 5%,0.5098829157748961,11049.325000000012
2020-09-28,27001.0,Aitkin,0.0,Elem. & MS/HS in-person,County: Aitkin<br>MN Dept of <br>Health Statistic:    0.0<br>Trending:             Upward<br>Percent Infected:      0.52<br>New Cases / Total Cases: 2 / 83<br>New Deaths/ Total Deaths:         0 / 1,Less than 5%,0.5224726173989677,8838.059999999998
2020-09-29,27001.0,Aitkin,0.0,Elem. & MS/HS in-person,County: Aitkin<br>MN Dept of <br>Health Statistic:    0.0<br>Trending:             Upward<br>Percent Infected:      0.53<br>New Cases / Total Cases: 1 / 84<br>New Deaths/ Total Deaths:         0 / 1,Less than 5%,0.5287674682110034,11046.699999999999
2020-09-30,27001.0,Aitkin,0.0,Elem. & MS/HS in-person,County: Aitkin<br>MN Dept of <br>Health Statistic:    0.0<br>Trending:             Upward<br>Percent Infected:      0.55<br>New Cases / Total Cases: 4 / 88<br>New Deaths/ Total Deaths:         0 / 1,Less than 5%,0.5539468714591465,6310.399999999996
2020-10-01,27001.0,Aitkin,0.0,Elem. & MS/HS in-person,County: Aitkin<br>MN Dept of <br>Health Statistic:    0.0<br>Trending:             Upward<br>Percent Infected:      0.57<br>New Cases / Total Cases: 3 / 91<br>New Deaths/ Total Deaths:         0 / 1,Less than 5%,0.5728314238952537,5520.287500000002
2020-10-02,27001.0,Aitkin,0.0,Elem. & MS/HS in-person,County: Aitkin<br>MN Dept of <br>Health Statistic:    0.0<br>Trending:             Upward<br>Percent Infected:      0.61<br>New Cases / Total Cases: 6 / 97<br>New Deaths/ Total Deaths:         0 / 1,Less than 5%,0.6106005287674682,4203.933333333334
2020-10-03,27001.0,Aitkin,0.0,Elem. & MS/HS in-person,County: Aitkin<br>MN Dept of <br>Health Statistic:    0.0<br>Trending:             Upward<br>Percent Infected:      0.59<br>New Cases / Total Cases: -3 / 94<br>New Deaths/ Total Deaths:         0 / 1,Less than 5%,0.591715976331361,6307.399999999997
2020-10-04,27001.0,Aitkin,13.848671786478661,"Elem. in-person, MS/HS hybrid",County: Aitkin<br>MN Dept of <br>Health Statistic:    13.85<br>Trending:             Upward<br>Percent Infected:      0.6<br>New Cases / Total Cases: 1 / 95<br>New Deaths/ Total Deaths:         0 / 1,Less than 5%,0.5980108271433967,6306.899999999996
2020-10-05,27001.0,Aitkin,17.625582273700115,"Elem. in-person, MS/HS hybrid",County: Aitkin<br>MN Dept of <br>Health Statistic:    17.63<br>Trending:             Upward<br>Percent Infected:      0.64<br>New Cases / Total Cases: 6 / 101<br>New Deaths/ Total Deaths:         0 / 1,Less than 5%,0.6357799320156112,4903.033333333334
2020-10-06,27001.0,Aitkin,16.99609719249654,"Elem. in-person, MS/HS hybrid",County: Aitkin<br>MN Dept of <br>Health Statistic:    17.0<br>Trending:             Upward<br>Percent Infected:      0.65<br>New Cases / Total Cases: 2 / 103<br>New Deaths/ Total Deaths:         0 / 1,Less than 5%,0.6483696336396827,4644.242105263159
2020-10-07,27001.0,Aitkin,21.402492760921564,Elem. & MS/HS hybrid,County: Aitkin<br>MN Dept of <br>Health Statistic:    21.4<br>Trending:             Upward<br>Percent Infected:      0.68<br>New Cases / Total Cases: 5 / 108<br>New Deaths/ Total Deaths:         0 / 1,Less than 5%,0.6798438876998615,4410.2800000000025
2020-10-08,27001.0,Aitkin,20.773007679717992,Elem. & MS/HS hybrid,County: Aitkin<br>MN Dept of <br>Health Statistic:    20.77<br>Trending:             Upward<br>Percent Infected:      0.68<br>New Cases / Total Cases: 0 / 108<br>New Deaths/ Total Deaths:         0 / 1,Less than 5%,0.6798438876998615,5188.564705882353
2020-10-09,27001.0,Aitkin,22.03197784212514,Elem. & MS/HS hybrid,County: Aitkin<br>MN Dept of <br>Health Statistic:    22.03<br>Trending:             Upward<br>Percent Infected:      0.7<br>New Cases / Total Cases: 3 / 111<br>New Deaths/ Total Deaths:         0 / 1,Less than 5%,0.6987284401359688,6298.899999999997
2020-10-10,27001.0,Aitkin,20.773007679717992,Elem. & MS/HS hybrid,County: Aitkin<br>MN Dept of <br>Health Statistic:    20.77<br>Trending:             Upward<br>Percent Infected:      0.71<br>New Cases / Total Cases: 2 / 113<br>New Deaths/ Total Deaths:         0 / 1,Less than 5%,0.7113181417600403,4640.557894736843
2020-10-11,27001.0,Aitkin,22.661462923328717,Elem. & MS/HS hybrid,County: Aitkin<br>MN Dept of <br>Health Statistic:    22.66<br>Trending:             Upward<br>Percent Infected:      0.74<br>New Cases / Total Cases: 4 / 117<br>New Deaths/ Total Deaths:         0 / 1,Less than 5%,0.7364975450081833,4006.4818181818187
2020-10-12,27001.0,Aitkin,22.661462923328717,Elem. & MS/HS hybrid,County: Aitkin<br>MN Dept of <br>Health Statistic:    22.66<br>Trending:             Upward<br>Percent Infected:      0.75<br>New Cases / Total Cases: 2 / 119<br>New Deaths/ Total Deaths:         0 / 1,Less than 5%,0.7490872466322548,4896.033333333334
2020-10-13,27001.0,Aitkin,24.549918166939445,Elem. & MS/HS hybrid,County: Aitkin<br>MN Dept of <br>Health Statistic:    24.55<br>Trending:             Upward<br>Percent Infected:      0.77<br>New Cases / Total Cases: 4 / 123<br>New Deaths/ Total Deaths:         0 / 1,Less than 5%,0.7742666498803978,4405.029999999998
2020-10-14,27001.0,Aitkin,25.808888329346594,Elem. & MS/HS hybrid,County: Aitkin<br>MN Dept of <br>Health Statistic:    25.81<br>Trending:             Upward<br>Percent Infected:      0.81<br>New Cases / Total Cases: 6 / 129<br>New Deaths/ Total Deaths:         0 / 1,Less than 5%,0.8120357547526124,4193.2666666666655
2020-10-15,27001.0,Aitkin,26.43837341055017,Elem. & MS/HS hybrid,County: Aitkin<br>MN Dept of <br>Health Statistic:    26.44<br>Trending:             Upward<br>Percent Infected:      0.84<br>New Cases / Total Cases: 4 / 133<br>New Deaths/ Total Deaths:         0 / 1,Less than 5%,0.8372151580007554,3521.2239999999983
2020-10-16,27001.0,Aitkin,27.067858491753746,Elem. & MS/HS hybrid,County: Aitkin<br>MN Dept of <br>Health Statistic:    27.07<br>Trending:             Upward<br>Percent Infected:      0.88<br>New Cases / Total Cases: 7 / 140<br>New Deaths/ Total Deaths:         0 / 1,Less than 5%,0.8812791136850057,3033.848275862069
2020-10-17,27001.0,Aitkin,32.733224222585925,"Elem. hybrid, MS/HS distance",County: Aitkin<br>MN Dept of <br>Health Statistic:    32.73<br>Trending:             Upward<br>Percent Infected:      0.92<br>New Cases / Total Cases: 6 / 146<br>New Deaths/ Total Deaths:         0 / 1,Less than 5%,0.9190482185572202,2664.8363636363633
2020-10-18,27001.0,Aitkin,35.25116454740023,"Elem. hybrid, MS/HS distance",County: Aitkin<br>MN Dept of <br>Health Statistic:    35.25<br>Trending:             Upward<br>Percent Infected:      0.95<br>New Cases / Total Cases: 5 / 151<br>New Deaths/ Total Deaths:         0 / 1,Less than 5%,0.950522472617399,2585.4294117647064
2020-10-19,27001.0,Aitkin,33.3627093037895,"Elem. hybrid, MS/HS distance",County: Aitkin<br>MN Dept of <br>Health Statistic:    33.36<br>Trending:             Upward<br>Percent Infected:      0.97<br>New Cases / Total Cases: 3 / 154<br>New Deaths/ Total Deaths:         1 / 2,Less than 5%,0.9694070250535062,2510.9600000000005
2020-10-20,27001.0,Aitkin,33.3627093037895,"Elem. hybrid, MS/HS distance",County: Aitkin<br>MN Dept of <br>Health Statistic:    33.36<br>Trending:             Upward<br>Percent Infected:      0.98<br>New Cases / Total Cases: 2 / 156<br>New Deaths/ Total Deaths:         0 / 2,Less than 5%,0.9819967266775778,2662.7151515151513
