Date,FIPS,Admin2,schooling,text,infect,perc_infected
2020-12-19,27001.0,Aitkin,Elem. & MS/HS distance,County: Aitkin<br>MN Dept of <br>Health Statistic:    85.61<br>Trending:             Downward<br>Percent Infected:      6.07<br>New Cases / Total Cases: 16 / 965<br>New Deaths/ Total Deaths:         0 / 31,Between 5% and 10%,6.0745310336145035
2020-12-19,27003.0,Anoka,Elem. & MS/HS distance,County: Anoka<br>MN Dept of <br>Health Statistic:    95.26<br>Trending:             Downward<br>Percent Infected:      7.75<br>New Cases / Total Cases: 184 / 27654<br>New Deaths/ Total Deaths:         4 / 285,Between 5% and 10%,7.747933015989533
2020-12-19,27005.0,Becker,Elem. & MS/HS distance,County: Becker<br>MN Dept of <br>Health Statistic:    86.28<br>Trending:             Downward<br>Percent Infected:      7.5<br>New Cases / Total Cases: 24 / 2583<br>New Deaths/ Total Deaths:         0 / 30,Between 5% and 10%,7.503703918891439
2020-12-19,27007.0,Beltrami,Elem. & MS/HS distance,County: Beltrami<br>MN Dept of <br>Health Statistic:    83.71<br>Trending:             Downward<br>Percent Infected:      5.84<br>New Cases / Total Cases: 27 / 2758<br>New Deaths/ Total Deaths:         0 / 33,Between 5% and 10%,5.844706281257947
2020-12-19,27009.0,Benton,Elem. & MS/HS distance,County: Benton<br>MN Dept of <br>Health Statistic:    93.42<br>Trending:             Downward<br>Percent Infected:      9.05<br>New Cases / Total Cases: 23 / 3701<br>New Deaths/ Total Deaths:         2 / 70,Between 5% and 10%,9.051334099635598
2020-12-19,27011.0,Big Stone,Armageddon?,County: Big Stone<br>MN Dept of <br>Health Statistic:    136.25<br>Trending:             Downward<br>Percent Infected:      8.4<br>New Cases / Total Cases: 2 / 419<br>New Deaths/ Total Deaths:         0 / 3,Between 5% and 10%,8.395111200160288
2020-12-19,27013.0,Blue Earth,Elem. & MS/HS distance,County: Blue Earth<br>MN Dept of <br>Health Statistic:    59.42<br>Trending:             Downward<br>Percent Infected:      7.12<br>New Cases / Total Cases: 24 / 4817<br>New Deaths/ Total Deaths:         1 / 23,Between 5% and 10%,7.120157273143837
2020-12-19,27015.0,Brown,Armageddon?,County: Brown<br>MN Dept of <br>Health Statistic:    113.16<br>Trending:             Downward<br>Percent Infected:      7.61<br>New Cases / Total Cases: 19 / 1902<br>New Deaths/ Total Deaths:         0 / 26,Between 5% and 10%,7.60556621880998
2020-12-19,27017.0,Carlton,Elem. & MS/HS distance,County: Carlton<br>MN Dept of <br>Health Statistic:    98.69<br>Trending:             Downward<br>Percent Infected:      6.86<br>New Cases / Total Cases: 27 / 2459<br>New Deaths/ Total Deaths:         2 / 33,Between 5% and 10%,6.855119734604555
2020-12-19,27019.0,Carver,Elem. & MS/HS distance,County: Carver<br>MN Dept of <br>Health Statistic:    79.55<br>Trending:             Downward<br>Percent Infected:      5.84<br>New Cases / Total Cases: 49 / 6142<br>New Deaths/ Total Deaths:         1 / 29,Between 5% and 10%,5.844569840801606
2020-12-19,27021.0,Cass,Elem. & MS/HS distance,County: Cass<br>MN Dept of <br>Health Statistic:    82.94<br>Trending:             Downward<br>Percent Infected:      6.17<br>New Cases / Total Cases: 11 / 1838<br>New Deaths/ Total Deaths:         0 / 17,Between 5% and 10%,6.172134725813493
2020-12-19,27023.0,Chippewa,Armageddon?,County: Chippewa<br>MN Dept of <br>Health Statistic:    159.32<br>Trending:             Downward<br>Percent Infected:      10.25<br>New Cases / Total Cases: 15 / 1209<br>New Deaths/ Total Deaths:         0 / 19,Between 10% and 15%,10.245762711864407
2020-12-19,27025.0,Chisago,Elem. & MS/HS distance,County: Chisago<br>MN Dept of <br>Health Statistic:    89.26<br>Trending:             Downward<br>Percent Infected:      6.96<br>New Cases / Total Cases: 25 / 3936<br>New Deaths/ Total Deaths:         1 / 25,Between 5% and 10%,6.95664469149331
2020-12-19,27027.0,Clay,Elem. & MS/HS distance,County: Clay<br>MN Dept of <br>Health Statistic:    85.64<br>Trending:             Downward<br>Percent Infected:      9.27<br>New Cases / Total Cases: 35 / 5955<br>New Deaths/ Total Deaths:         2 / 73,Between 5% and 10%,9.272523434337144
2020-12-19,27029.0,Clearwater,Elem. & MS/HS distance,County: Clearwater<br>MN Dept of <br>Health Statistic:    57.84<br>Trending:             Downward<br>Percent Infected:      7.09<br>New Cases / Total Cases: 2 / 625<br>New Deaths/ Total Deaths:         1 / 12,Between 5% and 10%,7.08777500567022
2020-12-19,27031.0,Cook,"Elem. hybrid, MS/HS distance",County: Cook<br>MN Dept of <br>Health Statistic:    31.12<br>Trending:             Downward<br>Percent Infected:      1.85<br>New Cases / Total Cases: 1 / 101<br>New Deaths/ Total Deaths:         0 / 0,Less than 5%,1.848801025077796
2020-12-19,27033.0,Cottonwood,Armageddon?,County: Cottonwood<br>MN Dept of <br>Health Statistic:    175.06<br>Trending:             Downward<br>Percent Infected:      10.57<br>New Cases / Total Cases: 7 / 1183<br>New Deaths/ Total Deaths:         1 / 10,Between 10% and 15%,10.56627366916756
2020-12-19,27035.0,Crow Wing,Elem. & MS/HS distance,County: Crow Wing<br>MN Dept of <br>Health Statistic:    60.56<br>Trending:             Downward<br>Percent Infected:      6.7<br>New Cases / Total Cases: 18 / 4358<br>New Deaths/ Total Deaths:         0 / 49,Between 5% and 10%,6.698947044808239
2020-12-19,27037.0,Dakota,Elem. & MS/HS distance,County: Dakota<br>MN Dept of <br>Health Statistic:    94.54<br>Trending:             Downward<br>Percent Infected:      6.64<br>New Cases / Total Cases: 235 / 28481<br>New Deaths/ Total Deaths:         4 / 250,Between 5% and 10%,6.638602772358463
2020-12-19,27039.0,Dodge,Elem. & MS/HS distance,County: Dodge<br>MN Dept of <br>Health Statistic:    66.4<br>Trending:             Downward<br>Percent Infected:      5.28<br>New Cases / Total Cases: 14 / 1106<br>New Deaths/ Total Deaths:         0 / 3,Between 5% and 10%,5.28327123340021
2020-12-19,27041.0,Douglas,Elem. & MS/HS distance,County: Douglas<br>MN Dept of <br>Health Statistic:    97.27<br>Trending:             Downward<br>Percent Infected:      8.62<br>New Cases / Total Cases: 27 / 3289<br>New Deaths/ Total Deaths:         1 / 54,Between 5% and 10%,8.623266301355496
2020-12-19,27043.0,Faribault,Armageddon?,County: Faribault<br>MN Dept of <br>Health Statistic:    132.57<br>Trending:             Downward<br>Percent Infected:      6.04<br>New Cases / Total Cases: 8 / 825<br>New Deaths/ Total Deaths:         0 / 7,Between 5% and 10%,6.042627993847506
